target,ref,t,gold
gay,homosexual,1920,1
gay,lesbian,1920,1
gay,happy,1920,-1
gay,showy,1920,-1
fatal,illness,1800,1
fatal,lethal,1800,1
fatal,fate,1800,-1
fatal,inevitable,1800,-1
awful,disgusting,1800,1
awful,mess,1800,1
awful,impressive,1800,-1
awful,majestic,1800,-1
nice,pleasant,1900,1
nice,lovely,1900,1
nice,refined,1900,-1
nice,dainty,1900,-1
broadcast,transmit,1920,1
broadcast,radio,1920,1
broadcast,scatter,1920,-1
broadcast,seed,1920,-1
monitor,display,1930,1
monitor,screen,1930,1
record,tape,1920,1
record,album,1920,1
guy,fellow,1850,1
guy,man,1850,1
call,phone,1890,1
call,message,1890,1

